,,,,,,,,,,
Stack Overflow Discussions,,,,,,,,,,
Id,OwnerUserId,CreationDate,Tags,AnswerCount,CommentCount,FavoriteCount,ViewCount,Score,Title,Body
54508906,11010289,2019-02-04 0:17:47,<java><emf><ecore><mde>,1,0,0,35,-1,EMF recusive subproperties,"<p>As you can see, the metamodel has a Test, which has properties. These can also have subproperties. </p>

<p>I want now to code a method, which gives back the properties as well as all other subproperties. Here is the naive approach without recursion. Please help me. </p>

<pre class=""lang-java prettyprint-override""><code>public EList&lt;TestProperty&gt; getProperties() {
        if (properties == null) {
            properties = new EObjectContainmentEList&lt;TestProperty&gt;(TestProperty.class, this,
                    Iec62264Package.TEST__PROPERTIES);
        }
        for (TestProperty property : properties) {
            properties.add(property.getSubProperties());
        }
        return properties;
    }
</code></pre>

<p><a href=""https://i.stack.imgur.com/IXNNq.png"" rel=""nofollow noreferrer"">Metamodel</a></p>
"
50426449,9643227,2018-05-19 14:39:31,<code-generation><acceleo><mde>,1,0,0,137,0,Acceleo Trasformation - Package with uri '*' not found.,"<p>When I try do to an acceleo trasformation I get this error: </p>

<pre><code>Exception in thread ""main"" org.eclipse.emf.ecore.resource.impl.ResourceSetImpl$1DiagnosticWrappedException: org.eclipse.emf.ecore.xmi.PackageNotFoundException: Package with uri 'http://www.eclipse.org/mmt/qvtd/UmlToRdbms#rdbmsMM' not found. (file:/D:/Utenti/davi9/mde-workspace/Assignment2/Models/dummy.xmi, 7, 108)
    at org.eclipse.emf.ecore.resource.impl.ResourceSetImpl.handleDemandLoadException(ResourceSetImpl.java:319)
    at org.eclipse.emf.ecore.resource.impl.ResourceSetImpl.demandLoadHelper(ResourceSetImpl.java:278)
    at org.eclipse.emf.ecore.resource.impl.ResourceSetImpl.getResource(ResourceSetImpl.java:406)
    at org.eclipse.acceleo.common.utils.ModelUtils.load(ModelUtils.java:391)
    at org.eclipse.acceleo.common.utils.ModelUtils.load(ModelUtils.java:356)
    at org.eclipse.acceleo.engine.service.AbstractAcceleoGenerator.initialize(AbstractAcceleoGenerator.java:488)
    at org.eclipse.acceleo.module.sample.common.Generate.&lt;init&gt;(Generate.java:90)
    at org.eclipse.acceleo.module.sample.common.Generate.main(Generate.java:144)
Caused by: org.eclipse.emf.ecore.xmi.PackageNotFoundException: Package with uri 'http://www.eclipse.org/mmt/qvtd/UmlToRdbms#rdbmsMM' not found. (file:/D:/Utenti/davi9/mde-workspace/Assignment2/Models/dummy.xmi, 7, 108)
</code></pre>

<p>.....</p>

<p>How can I solve this problem?</p>
"
48951992,790053,2018-02-23 16:11:41,<intellij-idea><eclipse-emf><emf><ecore><mde>,1,0,0,478,3,How to build EMOF models in IntelliJ and generate code from them?,"<p>What is the best way to build models in IntelliJ, in the style of Eclipse <a href=""https://www.eclipse.org/modeling/emf/"" rel=""nofollow noreferrer"">EMF</a> ? </p>

<p>Is there an equivalent of Eclipse <a href=""https://www.eclipse.org/modeling/emf/"" rel=""nofollow noreferrer"">EMF</a> in IntelliJ ?
And is there something that adheres to standards such as EMOF in the same way that EMF Ecore is aligned to it ?</p>

<p>I found a plugin that seems to help with that <a href=""https://plugins.jetbrains.com/plugin/7504-kevoree-modeling-framework-idea-plugin"" rel=""nofollow noreferrer"">here</a>, but I am wondering if there are other/better options.</p>
"
45888912,8518336,2017-08-25 20:24:25,<emf><metamodel><mda>,1,0,0,33,0,How to create a new meta-formalism?,"<p>I'm newbie with the using of EMF.
I understand the theory of MDA and MDD, and does some practice using Atom3 and AtomPM.
I know how to create a meta-model and meta-formalism (meta-meta-model) and how to create transformation rules using the two previous tools.
So, i need to know how to create a new meta-formalism(meta-meta-model) using EMF and how to create a meta-model using it. and how to create a model using the new meta-model.
Think you.</p>
"
43020588,1911196,2017-03-25 18:56:10,<transformation><dsl><model-driven><epsilon><model-driven-development>,1,0,0,101,0,UML to HUTN (Human-Usable Textual Notation),"<p>The epsilon project (based on eclipse) promises <a href=""http://www.eclipse.org/epsilon/doc/articles/hutn-basic/"" rel=""nofollow noreferrer"">here</a> to transform XMI to HUTN. I can't find any documentation for this purpose. Is it too trivial? I don't get it</p>

<p>Thanks for any advice</p>
"
41781254,6454129,2017-01-21 15:45:50,<ocl><model-driven-development>,1,0,0,59,0,OCL - calling rule,"<p>What does the below code do? How can I write this OCL expression when there is one element instead of elements?</p>

<p>In other words, I don't understand which elements does the code collect?
Since ""collect"" is used when we have more than one element, if I have one element (instead of elements), what changes occure to ""-> collect (s|thisModule.CreateMatchClass(s))"" part of that expression?</p>

<pre><code>s.source.elements -&gt; collect (s|thisModule.CreateAnyMatchClass(s))
</code></pre>

<p><a href=""https://i.stack.imgur.com/wBvDp.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/wBvDp.jpg"" alt=""enter image description here""></a></p>
"
40820434,6454129,2016-11-26 16:25:25,<epsilon><model-driven>,1,0,0,52,0,ETL is interpreted or compiled language,"<p>Is Epsilon transformation language (ETL) <code>interpreted</code> or <code>compiled</code> language?</p>
"
38420076,6454129,2016-07-17 10:05:45,<eclipse><emf><model-driven><model-driven-development>,2,0,0,397,0,Class diagram from ecore,"<p>I have .ecore metamodel. How can I automatically generate class diagram from it?</p>
"
37269243,3053097,2016-05-17 7:01:47,<eclipse><mde><eclipse-atl>,1,0,0,240,0,ATL to EMFTVM compiler,"<p>Several approaches intended to run EMFTVM model to model transformations have appeared (see <a href=""http://modeling-languages.com/executing-atl-transformations-java/"" rel=""nofollow"">http://modeling-languages.com/executing-atl-transformations-java/</a>).</p>

<p>However, all of these deal with EMFTVM transformations. I am in the case in which I have to run generated ATL transformations (with a HOT). Could I use a compiler from ATL to EMFTVM and use the Java code to run this resulting transformation afterwards?</p>
"
32154850,5254741,2015-08-22 10:05:36,<mda>,1,0,0,176,0,Active Model Driven Architecture (MDA) Tools,"<p>Could you provide a list of active <strong>MDA tools</strong> like AndroMDA? Tools like <em>arcstyler</em> or <em>optimalj</em> seems to be discontinued.</p>
"
30412913,3632206,2015-05-23 12:54:06,<ruby-on-rails><model-driven-development><graphical-programming>,1,0,0,201,0,Are there visual/graphical MDD tools for Ruby on Rails?,"<p>This is going to be pretty vague, so I hope I done get banned for it. </p>

<p>I've been learning about various dynamic web tools such as ruby on rails that can require a huge number of referencing between files (master view controllers, assets etc). Typically, when designing a rails application, I now draw the whole thing out in inkscape so that I have a visual representation of how all the files are connected to one another. </p>

<p>It would be really useful if I could translate the simple workflow diagram into some skeletal code. For example dragging a red block onto the page would create a controller, dragging an arrow in a direction towards a named view would then create the <code>def</code> in the controller etc etc. It's just an idea, but I wondered as a result if there were any graphical tools I could manipulate in order to do this kind of task?</p>

<p>If such a tool doesn't exist I'm happy to try and code one up myself - any ideas for a starting point?</p>
"
